,ln,dob,gn,fn,label
0,SALTER JR,01-03-1968,F,WILLIAM,0
1,SHAFFER JR,21-02-1962,F,WILLIAM,1
2,BLAND,21-02-1962,F,WILLIAM,2
3,BLAND JR,21-02-1962,F,WILLIAM,2
4,MICHAELSON JR,25-10-1953,M,ROY,3
5,MICHAELSON,25-10-1953,M,ROY,3
6,MICHAELSON JR,17-06-1948,M,ROY,4
7,HOUGHTON JR,31-01-1946,M,LAWRENCE,5
8,HOUGHTON JR,31-01-1946,M,LAWRENCE,5
9,LIND JR,31-01-1946,M,LAWRENCE,6
10,LIND JR,31-01-1946,M,KENNETH,7
11,CLARK JR,16-12-1944,M,JOHN,8
12,MICHAELSON JR,16-12-1944,M,JOHN,9
13,MICHAELSON JR,24-06-1939,M,JOHN,10
14,MICHAELSON JR,24-06-1939,M,JOHN,10
15,MICHAELSON JR,24-06-1939,M,JAMES,11
16,FUNARO JONES,06-12-1937,F,HARRIET,12
17,FUNARO J,06-12-1937,F,HARRIET,12
18,MELVIN JR,07-10-1937,M,HAROLD,13
19,MELVIN JR,07-10-1937,M,HAROLD,13
20,CHAVAS JR,07-10-1937,M,HAROLD,14
21,CHAVAS JR,07-10-1937,M,HAROLD,14
22,CHAVAS JR,07-10-1937,M,HAROLD,14
23,MICHAELSON JR,07-10-1937,M,HAROLD,15
24,FAGEN JR,07-10-1937,M,HAROLD,16
25,GRIFFIN JR,07-05-1937,M,CLIFFORD,17
26,GRIFFIN JR,07-05-1937,M,CLIFFORD,17
27,HANNA,24-11-1934,M,ADDISON J,18
